symbol,interval,fast_ma,slow_ma,lookback,quantity,fee_rate,initial_capital,trade_index,side,entry_time,entry_price,exit_time,exit_price,gross_pnl,net_pnl,fee,bars_held
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,123,LONG,1787410920000,77055.80000000,1787411580000,76987.30000000,-0.68500000,-1.30117240,0.61617240,11
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,124,SHORT,1787411580000,76987.30000000,1787412540000,77034.70000000,-0.47400000,-1.09008800,0.61608800,16
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,125,LONG,1787412540000,77034.70000000,1787413920000,76964.20000000,-0.70500000,-1.32099560,0.61599560,23
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,126,SHORT,1787413920000,76964.20000000,1787414820000,77057.70000000,-0.93500000,-1.55108760,0.61608760,15
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,127,LONG,1787414820000,77057.70000000,1787417820000,77331.00000000,2.73300000,2.11544520,0.61755480,50
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,128,SHORT,1787417820000,77331.00000000,1787419320000,77343.70000000,-0.12700000,-0.74569880,0.61869880,25
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,129,LONG,1787419320000,77343.70000000,1787419680000,77295.00000000,-0.48700000,-1.10555480,0.61855480,6
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,130,SHORT,1787419680000,77295.00000000,1787420820000,77264.50000000,0.30500000,-0.31323800,0.61823800,19
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,131,LONG,1787420820000,77264.50000000,1787422320000,77229.80000000,-0.34700000,-0.96497720,0.61797720,25
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,132,SHORT,1787422320000,77229.80000000,1787422980000,77345.40000000,-1.15600000,-1.77430080,0.61830080,11
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,133,LONG,1787422980000,77345.40000000,1787423880000,77290.90000000,-0.54500000,-1.16354520,0.61854520,15
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,134,SHORT,1787423880000,77290.90000000,1787425260000,77257.60000000,0.33300000,-0.28519400,0.61819400,23
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,135,LONG,1787425260000,77257.60000000,1787426760000,77270.10000000,0.12500000,-0.49311080,0.61811080,25
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,136,SHORT,1787426760000,77270.10000000,1787427120000,77327.10000000,-0.57000000,-1.18838880,0.61838880,6
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,137,LONG,1787427120000,77327.10000000,1787428980000,77380.10000000,0.53000000,-0.08882880,0.61882880,31
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,138,SHORT,1787428980000,77380.10000000,1787429580000,77446.60000000,-0.66500000,-1.28430680,0.61930680,10
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,139,LONG,1787429580000,77446.60000000,1787429940000,77360.00000000,-0.86600000,-1.48522640,0.61922640,6
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,140,SHORT,1787429940000,77360.00000000,1787431320000,77374.00000000,-0.14000000,-0.75893600,0.61893600,23
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,141,LONG,1787431320000,77374.00000000,1787432220000,77285.30000000,-0.88700000,-1.50563720,0.61863720,15
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,142,SHORT,1787432220000,77285.30000000,1787433720000,77148.60000000,1.36700000,0.74926440,0.61773560,25
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,143,LONG,1787433720000,77148.60000000,1787434560000,77085.50000000,-0.63100000,-1.24793640,0.61693640,14
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,144,SHORT,1787434560000,77085.50000000,1787436420000,77070.00000000,0.15500000,-0.46162200,0.61662200,31
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,145,LONG,1787436420000,77070.00000000,1787437920000,77038.90000000,-0.31100000,-0.92743560,0.61643560,25
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,146,SHORT,1787437920000,77038.90000000,1787438880000,77054.30000000,-0.15400000,-0.77037280,0.61637280,16
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,147,LONG,1787438880000,77054.30000000,1787439600000,77000.90000000,-0.53400000,-1.15022080,0.61622080,12
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,148,SHORT,1787439600000,77000.90000000,1787440140000,77079.20000000,-0.78300000,-1.39932040,0.61632040,9
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,149,LONG,1787440140000,77079.20000000,1787440320000,77003.10000000,-0.76100000,-1.37732920,0.61632920,3
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,150,SHORT,1787440320000,77003.10000000,1787442180000,77048.20000000,-0.45100000,-1.06720520,0.61620520,31
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,151,LONG,1787442180000,77048.20000000,1787443980000,77096.10000000,0.47900000,-0.13757720,0.61657720,30
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,152,SHORT,1787443980000,77096.10000000,1787444640000,77148.60000000,-0.52500000,-1.14197880,0.61697880,11
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,153,LONG,1787444640000,77148.60000000,1787447040000,77228.40000000,0.79800000,0.18049200,0.61750800,40
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,154,SHORT,1787447040000,77228.40000000,1787447760000,77377.50000000,-1.49100000,-2.10942360,0.61842360,12
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,155,LONG,1787447760000,77377.50000000,1787448600000,77282.30000000,-0.95200000,-1.57063920,0.61863920,14
